ds,yhat,yhat_lower,yhat_upper
2025-06-12 20:25:55.959,5175.902978085311,1583.9755011184184,8764.054923774056
2025-06-12 20:25:56.954,5175.9302550551065,1513.1185884119295,8539.332982974096
2025-06-12 20:25:59.961,5176.012689073373,1553.6847065391685,8538.789087194347
2025-06-12 20:26:00.954,5176.039911215088,1785.3328889348004,8745.86439474599
2025-06-12 20:26:04.006,5176.123578618452,1719.5981290012273,8502.277744773452
2025-06-12 20:26:06.959,5176.204532039858,1666.3809212691206,8867.47380149794
2025-06-12 20:26:07.956,5176.2318637571425,1139.4161837698346,8512.61903934558
2025-06-12 20:26:10.978,5176.314708741731,1430.922551577398,8928.608096526861
2025-06-12 20:26:11.977,5176.342095286935,1637.7430762989402,8897.002882167586
2025-06-12 20:26:14.984,5176.424529062136,1512.5339765197266,8826.451580419905
2025-06-12 20:26:15.977,5176.4517511235845,1543.2263599954783,8881.18686072162
2025-06-12 20:26:18.994,5176.534459038377,1540.617460617593,9127.952356581409
2025-06-12 20:26:19.979,5176.56146178815,1526.852436583714,8506.282194986581
2025-06-12 20:26:22.980,5176.6437310792935,1455.1883575407662,9101.208956268842
2025-06-12 20:26:25.981,5176.726000370436,1442.843873800509,8760.878417699045
2025-06-12 20:26:26.978,5176.753332087619,1828.0024888641458,8866.423320288524
2025-06-12 20:26:29.982,5176.8356836206385,1170.3293751782762,8800.514170735687
2025-06-12 20:26:30.978,5176.862987923864,1607.109602903933,8918.317180381853
2025-06-12 20:26:34.036,5176.946819810672,1822.4514379470413,8978.39366386723
2025-06-12 20:26:35.016,5176.973685490553,1497.673625904099,8297.800851616525
2025-06-12 20:26:38.017,5177.055954781695,1511.3559285877066,8819.857140918617
2025-06-12 20:26:39.016,5177.083341326796,1078.391169531878,8706.864777566858
2025-06-12 20:26:42.020,5177.165692853949,1643.425466183156,8748.565068692013
2025-06-12 20:26:45.020,5177.247934725271,1565.8221415040632,8750.032351247393
2025-06-12 20:26:46.018,5177.275293854465,1715.586558589623,8879.013341441707
2025-06-12 20:26:49.037,5177.358056590974,1509.2785782799426,8754.748446539608
2025-06-12 20:26:50.020,5177.385004510811,1700.6087376595356,8703.794389112734
2025-06-12 20:26:53.023,5177.467328624006,1698.318428311975,9023.111979541894
2025-06-12 20:26:54.018,5177.494605511328,1379.8811542764774,8449.340965978474
2025-06-12 20:26:57.021,5177.5769296245235,1623.0800092080528,8721.385624775905
2025-06-12 20:26:58.020,5177.6043161676735,1368.0140507687065,9153.194758943819
2025-06-12 20:27:01.022,5177.686613295366,1450.3737085029127,8707.616022108858
2025-06-12 20:27:04.027,5177.76899266536,1366.652431033983,8631.655111330341
2025-06-12 20:27:05.041,5177.796790562588,1713.2242798603502,8661.91968571925
2025-06-12 20:27:08.020,5177.878457165985,1469.7724659543571,8784.605184271171
2025-06-12 20:27:09.020,5177.905871265816,1657.5059242152076,8682.300914438418
2025-06-12 20:27:12.032,5177.988442534508,1558.4151045253807,8854.861719223478
2025-06-12 20:27:15.024,5178.070465521202,1454.4982772562857,8595.084576560708
2025-06-12 20:27:16.022,5178.097824792834,1629.0850532615177,8639.179783623475
2025-06-12 20:27:19.024,5178.180121920527,1559.7617514543385,8815.014466504776
2025-06-12 20:27:20.023,5178.207508609469,1643.9206761679156,8709.04312641914
2025-06-12 20:27:23.026,5178.289833160915,1507.1824411857033,8609.912365902597
2025-06-12 20:27:24.022,5178.317137607549,1671.965443908589,8645.94649123714
2025-06-12 20:27:27.025,5178.3994621589945,1385.5444954882573,8682.264745244052
2025-06-12 20:27:30.028,5178.48178671044,1656.4230308791498,8562.541314824206
2025-06-12 20:27:31.023,5178.50906374297,1534.3745474572593,8728.593584834609
2025-06-12 20:27:34.025,5178.591360880313,1669.7221248826631,8608.174611539263
2025-06-12 20:27:35.023,5178.618720155153,1587.1427128377925,8624.881266678283
2025-06-12 20:27:38.029,5178.701126948908,1526.192387023673,8868.70847819109
2025-06-12 20:27:39.026,5178.728458803741,1672.7027861843235,8840.717140092715
2025-06-12 20:27:42.052,5178.811413861637,1687.7806704016689,8837.516354004134
2025-06-12 20:27:44.108,5178.867777245325,1801.2692522584546,8911.139546659575
2025-06-12 20:27:47.065,5178.94884073052,1554.219660455558,8465.858706365228
2025-06-12 20:27:48.082,5178.976720867295,1436.2745139313615,8735.510849860188
2025-06-12 20:27:51.046,5179.05797625117,1747.9778397723,8958.256732805889
2025-06-12 20:27:52.044,5179.085335520101,1686.299901464206,8474.409825926014
2025-06-12 20:27:55.047,5179.167660053763,1693.5840182893926,8725.291460730252
2025-06-12 20:27:56.047,5179.195074150887,1403.3023090201248,8800.444594285767
2025-06-12 20:27:59.046,5179.282360671154,1560.528272569794,8716.278862195351
2025-06-12 20:28:00.044,5179.311407669228,1742.2424464236094,9000.665338135868
2025-06-12 20:28:03.048,5179.398839715537,1601.1938047419683,9003.289963041232
2025-06-12 20:28:06.052,5179.486271761845,1549.6133262551787,8666.363520390187
2025-06-12 21:16:19.840,5263.710574832432,1670.6667010896613,8772.693015267725
2025-06-12 21:16:20.596,5263.732578370053,1542.2650332501767,8722.28271775282
2025-06-12 21:16:21.908,5263.770764403593,1796.1633004381329,8852.705310356472
2025-06-12 21:16:22.878,5263.798996455829,1771.666704722747,9059.448183729484
2025-06-12 21:16:25.066,5263.862678652009,1873.1941660478788,8949.265968844846
2025-06-12 21:16:27.197,5263.924701832815,1575.7815127889373,8919.310559812999
